Объект,"Средние значения, кВт*ч",Все параметры,Параметры д/выч энергопотр,Формула
Тостер,1.3,Страна;Гарантия производителя;Кол-во тостов;Автоцентрирование тостов;Автоподъем тостов;Тип управления;Включение;Кол-во режимов;Подогрев;Разморозка;Максимальная потребляемая мощность;Напряжение;Материал корпуса;Поддон для крошек;Длина сетевого шнура;Отсек для шнура;Прорезиненные ножки;Защита от перегрева;Решетка для булочек;Высота;Глубина;Ширина;Вес;Цвет,Максимальная потребляемая мощность,Максимальная потребляемая мощность * 0.001 
Вытяжка,"0,21",Страна;Гарантия производителя;Тип вытяжки;Дизайн;Режимы работы;Жиропоглощающий фильтр;Тип управления;Количество скоростей;Тип подсветки;Количество ламп;Мощность подсветки;Количество двигателей;Производительность;Уровень шума;Крепление;Диаметр штуцера;Материал;Высота;Ширина;Глубина;Вес;Цвет,Потребляемая мощность;Мощность потребляемая,Потребляемая мощность * 0.001
Варочная панель,"1,5",Страна;Возможность работы от газового баллона;Отсутствие рамки (скошенные края);Кол-во конфорок;Материал поверхности;Решетка;Конфорка 1: Мощность;Конфорка 2: Мощность;Конфорка 3: Мощность;Конфорка 4: Мощность;Конфорка 5: Тип;Конфорка 5: Мощность;Тип управления;Электроподжиг;Тип электроподжига;Размещение панели управления;Газ-контроль;Высота;Ширина;Глубина;Ширина ниши;Глубина ниши;Вес;Цвет,Конфорка 1: Мощность; Конфорка 2: Мощность;Конфорка 3: Мощность;Конфорка 4: Мощность, ((Конфорка 1: Мощность + Конфорка 2: Мощность + Конфорка 3: Мощность + Конфорка 4: Мощность) / 4) 
Духовой шкаф,"3,5",Страна;Гарантия производителя;Тип духовки;Объем;Внутреннее покрытие;Освещение духовки;Гриль;Конвекция;Количество режимов работы;Режимы работы;Тип;Количество стекол;Тип управления;Дисплей;Цвет символов дисплея;Утапливаемые переключатели;Аварийное отключение;Вентилятор охлаждения;Класс энергопотребления;Присоединительная мощность;Решетка;Эмалированный противень;Плоский противень;Глубокий противень;Высота;Ширина;Глубина;Вес;Цвет,Класс энергопотребления,Класс энергопотребления;A+++ = 0.13; A++ = 0.15; A+ = 0.17; A = 0.19; B = 0.21; C = 0.25; D = 0.29; E = 0.33 
Встраиваемая посудомоечная машина,"3,5",Страна;Гарантия производителя;Тип;Класс мойки;Класс сушки;Вместимость посуды;Тип сушки;Уровень шума;Количество программ;Интенсивная;Деликатная;Быстрая;Экономичная;Отсрочка запуска;Максимальное время отсрочки запуска;Половинная загрузка;Электроника регенерирования;Возможность подключения к горячей воде;Тип управления;Звуковой сигнал;Наличие соли;Наличие ополаскивателя;Время до окончания программы;Защита от протечек;Потребление воды за цикл;Энергопотребление за цикл;Максимальная потребляемая мощность;Высота;Ширина;Глубина;Высота ниши;Ширина ниши;Глубина ниши;Вес;Дополнительная информация,Максимальная потребляемая мощность,Максимальная потребляемая мощность * 0.001 
Мультиварка,1,Страна;Объем чаши;Антипригарное покрытие;Покрытие чаши;Съемная;Нагревательный элемент;Отсрочка старта;Максимальное время отсрочки старта;Поддержание температуры;Количество программ;Тушение;Выпечка;Приготовление на пару;Запекание;Обжарка;Йогурт;Рис;Каша;Суп;Мясо;Овощи;Плов;Макароны;Тип управления;Тип дисплея;Индикация включения;Индикация времени приготовления;Индикация режима работы;Материал;Длина сетевого шнура;Съемный сетевой шнур;Автовыключение;Защита от перегрева;Мощность нагревательных элементов;Напряжение;Мерная емкость;Ложечка;Лопатка;Половник;Книга рецептов;Контейнер-пароварка;Высота;Ширина;Глубина;Вес;Цвет,Мощность нагревательных элементов,Мощность нагревательных элементов * 0.001 
Кофемашина,"0,8",Страна;Гарантия производителя;Тип используемого кофе;Максимальное давление;Мощность;Одновременное приготовление двух чашек;Эспрессо;Капучино;Латте;Латте макиато;Тип управления;Дисплей;Встроенная кофемолка;Объем резервуара для зерен;Регулировка степени помола;Количество степеней помола;Объем резервуара для воды;Капучинатор;Тип капучинатора;Объем резервуара для молока;Контроль крепости кофе;Подача горячей воды;Регулировка объема порции;Регулировка температуры;Установка времени предварительного смачивания;Функция энергосбережения;Индикация отсутствия воды;Индикация отсутствия кофе;Индикация режима работы;Индикация необходимости очистки;Материал корпуса;Материал решетки каплесборника;Материал кофемолки;Мерная ложечка;Высота;Ширина;Глубина;Вес;Цвет,Мощность,Мощность * 0.001
Чайник,1,"Страна;Гарантия производителя;Тип;Объем;Материал корпуса;Материал ручки;Подходит для всех источников нагрева, включая индукционные;Высота;Ширина;Глубина;Вес;Цвет",Максимальная потребляемая мощность,Максимальная потребляемая мощность * 0.001
Тостер,1,Страна;Гарантия производителя;Кол-во тостов;Автоцентрирование тостов;Автоподъем тостов;Тип управления;Включение;Кол-во режимов;Подогрев;Разморозка;Максимальная потребляемая мощность;Напряжение;Материал корпуса;Поддон для крошек;Длина сетевого шнура;Отсек для шнура;Прорезиненные ножки;Защита от перегрева;Решетка для булочек;Высота;Глубина;Ширина;Вес;Цвет,Максимальная потребляемая мощность,Максимальная потребляемая мощность * 0.001 
Утюг,1,Страна;Мощность;Объем резервуара для воды;Рабочее давление;Паровой удар;Постоянная подача пара;Время нагрева;Вертикальное отпаривание;Съемный резервуар для воды;Самоочистка от накипи;Автоотключение;Индикация включения;Длина сетевого шнура;Отсек для сетевого шнура;Замок фиксации утюга;Шарнирное крепление шнура;Вес;Цвет;Дополнительная информация,Мощность,Мощность * 0.001 
Обогреватель,11,Страна;Гарантия производителя;Количество секций;Площадь обогрева;Максимальная мощность;Количество уровней мощности;Управление;Термостат;Встроенный тепловентилятор;Световой индикатор;Отключение при перегреве;Колеса;Длина сетевого шнура;Высота;Ширина;Глубина;Вес;Цвет,Максимальная мощность,Максимальная мощность * 0.001 
Фен,"0,8",Страна;Тип фена;Кол-во скоростей;Кол-во температурных режимов;Холодный обдув;Концентратор;Петелька для подвешивания;Потребляемая мощность;Длина шнура;Высота;Ширина;Глубина;Вес;Цвет,Потребляемая мощность;Мощность потребляемая,Потребляемая мощность * 0.001 
Дрель,"0,25",Страна;Гарантия производителя;Тип патрона;Максимальный диаметр патрона;Минимальный диаметр патрона;Режимы работы;Количество скоростей работы;Максимальное число оборотов холостого хода;Максимальный крутящий момент;Максимальный диаметр сверления (дерево);Максимальный диаметр сверления (металл);Максимальный диаметр сверления (кирпич);Реверс;Тип электропитания;Тип аккумулятора;Емкость аккумулятора;Напряжение аккумулятора;Съемный аккумулятор;Дополнительный аккумулятор;Время зарядки аккумулятора;Тип зарядного устройства;Кейс;Аккумулятор;Высота;Ширина;Глубина;Вес;Цвет,Потребляемая мощность;Мощность потребляемая,Потребляемая мощность * 0.001 
